G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,E,InnOuts,seasons,latestAge,weight,height,lastG,lastAB,lastR,lastH,last2B,last3B,lastHR,lastRBI,lastSB,lastCS,lastBB
31,65,8,17,3,0,1,8,1,1,4,0,290,4,28,182,70,57,117,7,27,5,0,13,1,2,9
29,59,7,15,3,0,1,7,0,0,4,0,275,5,33,182,70,22,39,3,8,4,0,2,0,0,1
76,265,35,74,12,1,5,26,7,4,20,7,3534,2,25,195,73,15,50,2,15,3,0,7,0,2,3
69,235,30,64,12,1,4,24,5,3,19,5,2585,3,26,195,73,57,175,20,46,13,2,20,1,2,19
53,179,22,48,9,1,3,18,3,2,14,4,1960,4,27,195,73,5,10,0,1,1,0,0,0,0,0
45,148,18,40,7,1,2,14,3,2,11,3,1595,5,28,195,73,12,24,2,5,1,1,0,0,0,0
41,133,16,35,7,1,2,13,2,2,10,2,1377,6,29,195,73,20,58,4,14,4,1,6,0,1,2
38,121,14,32,6,1,2,12,2,1,9,2,1184,7,30,195,73,21,53,5,15,1,1,5,0,1,2
47,131,13,28,7,0,4,17,2,1,6,3,1395,2,25,200,73,75,207,20,43,13,0,28,3,1,11
37,101,10,22,5,0,3,13,1,0,5,2,1095,3,26,200,73,17,43,3,9,1,0,7,0,0,2
46,87,9,17,4,0,2,10,1,0,4,2,890,4,27,200,73,73,45,8,5,1,0,2,0,0,3
39,76,8,15,3,0,2,10,0,0,4,1,716,5,28,200,73,12,32,5,7,1,0,8,0,0,2
43,79,9,18,3,0,2,10,0,0,5,1,761,6,29,200,73,65,95,13,32,5,0,12,0,1,13
41,73,8,17,3,0,2,9,0,0,5,1,683,7,30,200,73,29,39,6,10,1,0,6,0,0,3
37,67,8,16,3,0,1,8,0,0,4,1,614,8,31,200,73,9,23,2,8,3,0,0,0,0,0
39,75,9,18,3,0,2,9,0,0,4,1,717,9,32,200,73,52,137,18,37,8,1,20,0,0,6
91,281,31,76,16,4,6,33,7,6,19,5,3932,2,26,180,72,120,354,38,99,25,4,52,7,9,27
79,228,28,59,13,3,4,25,5,4,19,4,3226,3,27,180,72,57,123,21,25,6,0,9,3,1,19
67,190,24,48,10,2,3,20,4,3,16,3,2676,4,28,180,72,31,76,14,17,3,0,6,1,1,7
75,193,24,51,9,2,3,21,4,3,15,3,2707,5,29,180,72,105,207,24,61,7,1,24,6,1,12
77,179,22,46,8,2,2,18,4,2,15,3,2419,6,30,180,72,91,110,13,20,2,2,8,1,0,15
68,158,19,39,7,1,2,16,3,2,13,3,2124,7,31,180,72,12,28,3,3,0,0,1,0,0,1
72,176,24,48,9,2,2,19,3,2,15,3,2391,8,33,180,72,105,301,56,105,27,8,41,5,7,30
78,195,28,53,10,2,3,21,4,3,18,4,2641,9,34,180,72,119,350,66,94,18,4,37,13,5,45
81,203,29,54,10,2,3,21,4,2,19,4,2701,10,35,180,72,117,276,32,68,12,2,27,2,1,23
63,142,25,41,6,3,1,20,8,3,16,6,1766,2,26,170,67,124,283,50,82,13,6,40,17,6,32
91,203,39,59,8,2,2,25,15,5,24,6,2685,3,27,170,67,146,325,69,95,11,1,36,28,11,42
107,305,49,89,15,3,3,33,16,6,28,6,3988,4,28,170,67,155,614,77,179,38,7,59,19,10,41
93,274,43,78,13,3,2,30,14,6,25,5,3584,5,29,170,67,40,148,20,37,6,1,18,6,5,14
80,233,36,66,11,2,2,25,11,5,22,4,3021,6,30,170,67,15,31,5,4,0,0,2,0,1,6
72,209,32,58,10,2,2,22,10,4,20,4,2617,7,31,170,67,24,64,7,14,2,2,3,0,1,5
78,226,36,64,12,3,2,24,9,4,21,3,2567,8,32,170,67,123,349,60,108,27,8,40,5,4,32
82,224,33,62,11,3,1,24,8,4,20,3,2401,9,33,170,67,115,203,17,46,5,2,18,5,1,15
81,219,33,61,11,2,1,22,8,4,20,3,2267,10,34,170,67,74,176,26,48,11,1,13,3,5,15
86,219,32,60,10,2,1,22,7,4,20,3,2156,11,35,170,67,134,215,23,51,4,3,13,4,0,23
83,205,29,56,9,2,1,20,7,3,19,2,1992,12,36,170,67,45,53,5,11,1,1,2,2,0,4
53,96,13,26,8,0,2,9,2,1,9,1,568,2,27,215,75,87,164,22,47,14,1,15,4,2,15
84,182,22,41,8,1,3,15,6,2,19,2,1188,3,28,215,75,146,355,39,72,9,2,28,15,4,41
74,172,21,40,8,1,4,15,5,1,17,1,1137,4,29,215,75,47,143,18,39,7,1,16,2,0,10
64,149,18,35,7,0,3,13,4,1,14,2,909,5,31,215,75,22,58,9,15,3,0,5,2,0,3
46,164,24,46,10,0,1,18,1,1,21,10,1179,2,24,190,72,86,308,45,85,19,0,33,2,3,39
69,252,36,67,12,2,2,27,2,2,30,11,1726,3,25,190,72,114,429,61,108,15,7,44,6,3,50
88,329,44,88,15,3,5,34,4,3,39,12,2224,4,26,190,72,146,561,69,153,24,7,57,11,7,66
101,376,50,101,17,3,6,41,6,4,48,11,2548,5,27,190,72,152,563,76,152,28,3,67,13,7,82
90,331,44,88,15,2,5,35,5,3,42,9,2230,6,28,190,72,35,105,14,24,7,0,5,2,1,14
81,293,39,77,14,2,4,31,4,3,38,8,1991,7,29,190,72,28,71,8,13,3,0,8,0,0,16
80,269,36,71,13,2,4,28,4,2,36,8,1797,8,30,190,72,73,102,14,25,7,0,10,2,1,21
46,114,13,29,6,0,0,5,3,0,9,5,780,2,25,205,75,55,123,11,22,6,0,4,3,0,12
40,88,9,21,4,0,0,3,2,0,8,3,632,3,26,205,75,29,35,3,5,0,0,0,0,0,6
30,67,7,16,3,0,0,3,1,0,6,2,479,4,27,205,75,2,4,1,1,1,0,3,0,0,0
35,75,8,19,2,0,0,3,1,0,7,2,580,5,28,205,75,52,107,13,33,0,3,5,3,1,10
43,85,10,22,3,0,0,5,1,1,7,2,701,6,29,205,75,86,139,19,36,9,1,13,1,5,8
43,78,10,20,3,0,0,4,1,0,6,1,674,7,30,205,75,44,36,8,10,2,0,2,1,0,2
44,79,10,20,3,0,0,4,1,0,6,1,696,8,31,205,75,53,88,10,20,2,0,5,1,0,7
44,78,9,19,3,0,0,4,1,0,6,1,694,9,32,205,75,39,65,6,12,2,0,4,1,0,7
41,75,9,19,3,0,0,5,1,0,6,1,655,10,33,205,75,21,50,10,15,3,0,9,0,0,4
41,73,9,18,3,0,0,4,1,0,6,1,622,11,34,205,75,43,51,3,10,1,0,2,2,1,10
54,200,23,46,8,1,8,26,1,2,10,4,1373,2,24,180,70,76,271,31,68,12,2,38,2,3,17
72,260,35,71,13,1,9,40,2,2,15,7,1819,3,25,180,70,108,381,59,122,25,2,68,3,4,24
88,323,42,88,18,1,10,47,2,2,21,6,2275,4,26,180,70,138,513,63,137,34,2,68,5,1,41
99,362,44,94,19,1,11,51,2,2,23,6,2543,5,27,180,70,142,520,56,121,21,3,69,3,2,31
106,376,44,95,20,1,10,50,3,2,27,5,2677,6,28,180,70,139,443,40,99,25,1,46,5,5,45
113,405,48,103,22,1,12,57,3,2,30,6,2876,7,29,180,70,157,583,76,155,38,1,95,6,4,48
118,431,55,110,24,1,13,57,4,3,32,6,3003,8,30,180,70,152,608,102,153,38,1,63,14,9,47
