101,376,50,101,17,3,6,41,6,4,48,11,2548,5,27,190,72,152,563,76,152,28,3,12,67,13,7,82
90,331,44,88,15,2,5,35,5,3,42,9,2230,6,28,190,72,35,105,14,24,7,0,0,5,2,1,14
40,88,9,21,4,0,0,3,2,0,8,3,632,3,26,205,75,29,35,3,5,0,0,0,0,0,0,6
30,67,7,16,3,0,0,3,1,0,6,2,479,4,27,205,75,2,4,1,1,1,0,0,3,0,0,0
35,75,8,19,2,0,0,3,1,0,7,2,580,5,28,205,75,52,107,13,33,0,3,0,5,3,1,10
43,85,10,22,3,0,0,5,1,1,7,2,701,6,29,205,75,86,139,19,36,9,1,2,13,1,5,8
43,78,10,20,3,0,0,4,1,0,6,1,674,7,30,205,75,44,36,8,10,2,0,0,2,1,0,2
44,79,10,20,3,0,0,4,1,0,6,1,696,8,31,205,75,53,88,10,20,2,0,0,5,1,0,7
41,75,9,19,3,0,0,5,1,0,6,1,655,10,33,205,75,21,50,10,15,3,0,1,9,0,0,4
33,129,15,25,4,0,4,15,1,1,4,6,880,1,23,180,70,33,129,15,25,4,0,4,15,1,1,4
54,200,23,46,8,1,8,26,1,2,10,4,1373,2,24,180,70,76,271,31,68,12,2,12,38,2,3,17
88,323,42,88,18,1,10,47,2,2,21,6,2275,4,26,180,70,138,513,63,137,34,2,15,68,5,1,41
99,362,44,94,19,1,11,51,2,2,23,6,2543,5,27,180,70,142,520,56,121,21,3,12,69,3,2,31
106,376,44,95,20,1,10,50,3,2,27,5,2677,6,28,180,70,139,443,40,99,25,1,7,46,5,5,45
118,431,55,110,24,1,13,57,4,3,32,6,3003,8,30,180,70,152,608,102,153,38,1,20,63,14,9,47
119,434,55,110,23,1,13,59,5,3,34,7,3035,9,31,180,70,127,463,61,116,18,2,19,74,8,4,50
123,453,62,120,25,1,16,67,5,3,34,8,3142,10,32,180,70,158,623,118,206,37,3,37,141,5,5,40
125,467,64,124,26,1,16,71,5,3,36,7,3216,11,33,180,70,155,608,88,169,34,3,24,107,12,5,53
128,480,68,129,26,2,18,75,6,3,39,7,3292,12,34,180,70,159,622,111,183,35,5,35,117,16,3,68
130,489,68,131,27,1,18,75,6,3,40,8,3340,13,35,180,70,148,593,74,149,30,0,24,83,10,5,56
28,71,7,16,3,0,1,8,0,0,10,1,579,5,30,205,73,82,230,23,53,10,2,6,28,1,0,36
36,91,9,21,4,0,3,12,0,0,13,1,753,6,31,205,73,77,190,20,43,10,0,11,29,0,0,27
39,100,10,23,5,0,3,13,0,0,13,1,807,7,32,205,73,57,151,17,34,7,0,7,25,0,0,17
42,107,12,25,6,0,4,14,0,0,13,2,854,8,33,205,73,62,163,23,42,13,0,6,18,0,0,11
43,113,13,27,6,0,4,16,0,0,13,2,884,9,34,205,73,59,160,27,45,12,0,9,32,0,0,19
47,122,13,28,6,0,4,17,0,0,14,2,930,11,36,205,73,73,183,13,35,7,0,6,25,0,0,15
48,98,13,27,4,1,1,7,0,1,9,3,690,3,24,220,74,115,246,36,75,12,4,4,20,1,3,22
72,167,22,45,8,1,5,19,1,1,16,5,1089,4,25,220,74,143,373,49,98,23,0,18,53,3,1,36
81,181,24,47,9,0,7,25,1,1,20,5,1204,5,26,220,74,121,240,33,55,12,0,14,50,0,0,38
82,183,24,47,10,0,7,25,0,1,18,5,1198,6,27,220,74,87,189,24,50,13,0,6,25,0,1,6
73,163,21,42,9,0,6,22,0,0,16,5,1065,7,28,220,74,20,45,2,9,5,0,0,3,0,0,5
75,177,22,47,10,0,6,24,0,0,18,6,1128,8,29,220,74,84,276,36,82,20,0,13,43,0,0,36
77,193,24,52,11,0,7,27,1,0,20,6,1245,9,30,220,74,97,323,40,92,22,4,8,46,4,1,31
79,208,26,55,12,0,7,28,0,0,21,7,1355,10,31,220,74,102,341,41,89,19,0,12,40,0,1,31
58,180,23,45,7,0,8,19,0,1,22,1,1243,4,27,195,72,96,310,49,85,10,1,20,40,0,2,55
71,228,34,62,11,0,12,32,0,1,31,1,1619,5,28,195,72,126,419,80,130,28,0,29,82,1,1,69
76,245,36,65,11,0,13,35,0,0,37,2,1768,6,29,195,72,99,332,45,82,10,0,19,53,2,0,63
